entity,paper_id,relation
joseph ward,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
oluwapelumi adeyemi,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
niall mclean,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
stonehouse a#,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
chris neil,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
tobias tuthill,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
lidia lasecka-dykes,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
david kealy,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
morgan herod,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
emma ,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
warner ,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
 gold,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
caroline wright,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
sarah ,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
nicola ,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
david rowlands,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
donald king,0015023cc06b5362d332b3baf348d11567ca2fbb,has_author
virus,0015023cc06b5362d332b3baf348d11567ca2fbb,has_title
disease,0015023cc06b5362d332b3baf348d11567ca2fbb,has_title
pseudoknots,0015023cc06b5362d332b3baf348d11567ca2fbb,has_title
production,0015023cc06b5362d332b3baf348d11567ca2fbb,has_title
rna,0015023cc06b5362d332b3baf348d11567ca2fbb,has_title
replication,0015023cc06b5362d332b3baf348d11567ca2fbb,has_title
loop,0015023cc06b5362d332b3baf348d11567ca2fbb,has_abstract
importance,0015023cc06b5362d332b3baf348d11567ca2fbb,has_abstract
genome,0015023cc06b5362d332b3baf348d11567ca2fbb,has_abstract
function,0015023cc06b5362d332b3baf348d11567ca2fbb,has_abstract
translation,0015023cc06b5362d332b3baf348d11567ca2fbb,has_abstract
frame,0015023cc06b5362d332b3baf348d11567ca2fbb,has_abstract
